Distribution statistics of daily log FX changes (all currencies, weekdays only)
Daily log change = log(level_t) - log(level_{t-1})

currency         p01         p02         p05         p10         p25         p50         p75         p90         p95         p98         p99        mean        std     skewness      kurtosis  n_log_changes
     DJF -0.01634871 -0.01308768 -0.00844776 -0.00582841 -0.00124353  0.00000000  0.00125003  0.00575202  0.00839885  0.01275928  0.01582456  0.00000600 0.00698563   2.63532073  126.43731905           6886
     DKK -0.01471660 -0.01250825 -0.00918093 -0.00664330 -0.00312052  0.00002851  0.00301532  0.00656705  0.00932394  0.01248407  0.01495768 -0.00001903 0.00565003  -0.15675129    2.89989424           6886
     DOP -0.02887000 -0.01912233 -0.01037484 -0.00638429 -0.00161234  0.00000689  0.00196280  0.00659750  0.01071452  0.01982167  0.03010556  0.00019307 0.01066805   2.43160218   81.79490020           6886
     DZD -0.02138355 -0.01530184 -0.00988155 -0.00585446 -0.00218657  0.00003053  0.00236219  0.00605051  0.00990461  0.01594175  0.02089713  0.00009675 0.00672666   0.02133269   10.55315293           6886
     ECS -0.01361532 -0.01120623 -0.00785823 -0.00540743 -0.00188135  0.00000000  0.00195894  0.00552228  0.00804069  0.01119535  0.01396743  0.00004297 0.00547973   1.41208432   48.25006890           6886
     EEK -0.01550275 -0.01338527 -0.01002331 -0.00719850 -0.00348884  0.00000000  0.00337467  0.00737603  0.01003466  0.01311842  0.01619321 -0.00002946 0.00614653  -0.12189437    2.46616091           4805
     EGP -0.01069301 -0.00711561 -0.00373279 -0.00215761 -0.00057805  0.00000295  0.00065901  0.00241190  0.00454262  0.00851530  0.01268823  0.00039563 0.00965161  33.00137492 1454.48027944           6886
     ESP -0.01553188 -0.01318482 -0.00995656 -0.00724540 -0.00345306  0.00000000  0.00335106  0.00728472  0.01015314  0.01310208  0.01593994 -0.00002949 0.00614053  -0.14721322    2.53659394           4805
     ETB -0.02141308 -0.01505287 -0.01012794 -0.00671121 -0.00194500  0.00016604  0.00246533  0.00733834  0.01103687  0.01706351  0.02295161  0.00043716 0.00878051   7.79380428  203.22741418           6886
     EUR -0.01472337 -0.01246825 -0.00921292 -0.00664350 -0.00312538  0.00002320  0.00302219  0.00654728  0.00935939  0.01238121  0.01520960 -0.00001959 0.00566749  -0.15075879    2.85796683           6886
     FIM -0.01552310 -0.01319733 -0.00995208 -0.00724492 -0.00345613  0.00000000  0.00335271  0.00729145  0.01015238  0.01311008  0.01593510 -0.00002949 0.00614063  -0.14729587    2.53770350           4805
     FJD -0.01825516 -0.01477513 -0.01043487 -0.00704680 -0.00293364  0.00000000  0.00291206  0.00691400  0.00999543  0.01403297  0.01832270  0.00001693 0.00711768   5.53798734  178.33870845           6886
     FRF -0.01552505 -0.01318552 -0.00995047 -0.00724937 -0.00344802  0.00000000  0.00335008  0.00728972  0.01015166  0.01310307  0.01594416 -0.00002949 0.00614046  -0.14726235    2.53629720           4805
     GBP -0.01402709 -0.01186618 -0.00886210 -0.00646257 -0.00315690 -0.00006504  0.00318654  0.00669964  0.00913876  0.01201359  0.01457837  0.00002743 0.00577413   0.42287720    9.60998632           6886
     GEL -0.01857220 -0.01292003 -0.00849102 -0.00519174 -0.00158994 -0.00002551  0.00155885  0.00545221  0.00901213  0.01383432  0.01969384  0.00004615 0.00683128  -2.16006447  131.52793353           6886
     GHC -0.02952434 -0.01977853 -0.01270485 -0.00625954 -0.00154983  0.00000190  0.00233589  0.00825333  0.01340299  0.02231062  0.03065831  0.00050526 0.00893392   0.61719368   13.61434297           1952
     GHS -0.03359937 -0.02321774 -0.01383474 -0.00773087 -0.00202099  0.00003951  0.00318369  0.00928573  0.01482267  0.02516867  0.03443086  0.00050882 0.01141124  -0.86448740   40.90169451           6886
     GMD -0.04496602 -0.03069521 -0.01489858 -0.00769835 -0.00106974  0.00000179  0.00157172  0.00853470  0.01607303  0.03375710  0.04584680  0.00027136 0.01344667  -0.17821261   28.12524488           6886
     GNF -0.02773412 -0.01823416 -0.01024756 -0.00603281 -0.00118327  0.00000000  0.00138421  0.00686223  0.01110264  0.01971614  0.03148576  0.00027005 0.01216043  -7.69065080  442.26458715           6886
